Start time = Sat Mar  6 19:59:36 2021

Format: rel.time(s) press(Pa) altitude(m) temp(oC) [pitch roll yaw](rad) [ax ay az](Gs)

-12.1441;por definir;[0.011, 0.075, 0.984];[359.332, 4.411, 199.029];1615060780.90638
-12.1319;por definir;[0.012, 0.076, 0.984];[359.333, 4.411, 199.068];1615060780.94197
-12.0956;por definir;[0.012, 0.076, 0.984];[359.331, 4.41, 199.113];1615060780.97327
-12.0996;por definir;[0.012, 0.076, 0.984];[359.33, 4.41, 199.134];1615060781.0088
-12.0956;por definir;[0.012, 0.076, 0.986];[359.33, 4.41, 199.134];1615060781.0088
-12.0956;por definir;[0.012, 0.076, 0.984];[359.331, 4.411, 199.151];1615060781.07651
-12.1178;por definir;[0.013, 0.075, 0.986];[359.331, 4.411, 199.151];1615060781.07651
-12.0956;por definir;[0.012, 0.076, 0.984];[359.327, 4.409, 199.157];1615060781.11411
-12.0956;por definir;[0.011, 0.075, 0.983];[359.322, 4.409, 199.151];1615060781.14718
-12.0895;por definir;[0.014, 0.074, 0.985];[359.322, 4.407, 199.126];1615060781.18005
-12.0875;por definir;[0.013, 0.076, 0.986];[359.319, 4.403, 199.098];1615060781.24445
-12.0592;por definir;[0.012, 0.075, 0.984];[359.319, 4.403, 199.098];1615060781.24445
-12.0592;por definir;[0.014, 0.076, 0.985];[359.315, 4.402, 199.097];1615060781.33553
-12.0592;por definir;[0.014, 0.076, 0.985];[359.315, 4.402, 199.097];1615060781.33553
-12.0451;por definir;[0.014, 0.076, 0.985];[359.315, 4.401, 199.115];1615060781.35907
-12.0511;por definir;[0.011, 0.075, 0.985];[359.32, 4.4, 199.221];1615060781.42264
-12.0228;por definir;[0.012, 0.074, 0.982];[359.322, 4.396, 199.228];1615060781.44025
-12.0228;por definir;[0.012, 0.074, 0.987];[359.32, 4.392, 199.221];1615060781.47171
-12.0188;por definir;[0.011, 0.074, 0.984];[359.32, 4.392, 199.221];1615060781.47171
-12.0188;por definir;[0.011, 0.074, 0.985];[359.32, 4.392, 199.221];1615060781.47171
-12.0006;por definir;[0.012, 0.075, 0.984];[359.324, 4.386, 199.188];1615060781.56089
-11.9925;por definir;[0.015, 0.076, 0.987];[359.318, 4.382, 199.181];1615060781.59322
-11.9925;por definir;[0.01, 0.075, 0.986];[359.318, 4.382, 199.181];1615060781.59322
-11.94;por definir;[0.013, 0.076, 0.984];[359.321, 4.387, 199.21];1615060781.66363
-11.94;por definir;[0.014, 0.077, 0.988];[359.321, 4.387, 199.21];1615060781.66363
-11.9239;por definir;[0.01, 0.074, 0.987];[359.32, 4.39, 199.368];1615060781.7297
-11.9016;por definir;[0.012, 0.077, 0.985];[359.32, 4.39, 199.368];1615060781.7297
-11.8875;por definir;[0.013, 0.075, 0.986];[359.32, 4.392, 199.408];1615060781.7675
-11.8632;por definir;[0.011, 0.075, 0.986];[359.322, 4.388, 199.546];1615060781.83139
-11.8754;por definir;[0.011, 0.076, 0.986];[359.322, 4.388, 199.546];1615060781.83139
-11.8491;por definir;[0.014, 0.075, 0.985];[359.321, 4.383, 199.658];1615060781.89857
-11.8491;por definir;[0.013, 0.075, 0.983];[359.321, 4.383, 199.658];1615060781.89857
-11.835;por definir;[0.011, 0.076, 0.986];[359.322, 4.388, 199.747];1615060781.9667
-11.835;por definir;[0.011, 0.076, 0.986];[359.322, 4.388, 199.747];1615060781.9667
